0 strains,1 strain,2 strains,3 or more strains
2028606,4243874,4234767,4492753
2030230,4243658,4233621,4492491
2030721,4240489,4233185,4495605
2028879,4241278,4233132,4496711
2031884,4244106,4231564,4492446
2031490,4239140,4235801,4493569
2032234,4243037,4232133,4492596
2028899,4244324,4233972,4492805
2030186,4239229,4234555,4496030
2030957,4241905,4230520,4496618
2030582,4239954,4235043,4494421
2030348,4243893,4233858,4491901
2032078,4243275,4232701,4491946
2031588,4244571,4228869,4494972
2029955,4239655,4236170,4494220
2029294,4239771,4234112,4496823
2031069,4240882,4232683,4495366
2028075,4244393,4234427,4493105
2030871,4240751,4233216,4495162
2031494,4239367,4236028,4493111
2031890,4239730,4233650,4494730
2028480,4242893,4235998,4492629
2029798,4240731,4237495,4491976
2028714,4241390,4236065,4493831
2028559,4243779,4233528,4494134
2028810,4242106,4233794,4495290
2032025,4241309,4229601,4497065
2027391,4244862,4234189,4493558
2031183,4240744,4232905,4495168
2028752,4243551,4235479,4492218
2028767,4242090,4234610,4494533
2030791,4238047,4233713,4497449
2029431,4243665,4232520,4494384
2030371,4243017,4235034,4491578
2030306,4240605,4233991,4495098
2027491,4241469,4234987,4496053
2029535,4244353,4230565,4495547
2030502,4241721,4235426,4492351
2030479,4243726,4230409,4495386
2028563,4243633,4232111,4495693
2030436,4242395,4235298,4491871
2028413,4243150,4234969,4493468
2030695,4238066,4235475,4495764
2028842,4240379,4235810,4494969
2028519,4245085,4232192,4494204
2030516,4239247,4233392,4496845
2028446,4244157,4234471,4492926
2030799,4243358,4232119,4493724
2030143,4242267,4233594,4493996
2028828,4246528,4231503,4493141
2029805,4240862,4235457,4493876
2031412,4237666,4236683,4494239
2030324,4242401,4232245,4495030
2028505,4246371,4231665,4493459
2031720,4239521,4233587,4495172
2032416,4242322,4233348,4491914
2032215,4240680,4229933,4497172
2029875,4244558,4233658,4491909
2029712,4242547,4233512,4494229
2030950,4240532,4233220,4495298
2029678,4244060,4232644,4493618
2029637,4244311,4233491,4492561
2029375,4240549,4235679,4494397
2030487,4240493,4234205,4494815
2029006,4241569,4233951,4495474
2029247,4241338,4234368,4495047
2030166,4242695,4233318,4493821
